U,Mu
10,1.25
10,7.65
10,44.75
15,1.25
15,12.850000000000001
15,17.55
15,26.25
15,34.95
15,39.25
20,1.25
20,18.05
20,22.150000000000002
20,36.55
20,44.25
20,55.150000000000006
25,1.25
25,23.150000000000002
25,26.950000000000003
25,46.75
25,54.05
