Ubar,Mubar,Actual_Phase,Predicted_Phase,Type
0.0,4.974874371859296,1.0,1,Predicted
0.12562814070351758,5.57788944723618,0.0,1,Predicted
0.25125628140703515,6.180904522613065,1.0,1,Predicted
0.37688442211055273,6.482412060301507,1.0,1,Predicted
0.5025125628140703,7.085427135678391,0.0,1,Predicted
0.6281407035175879,7.688442211055276,0.0,1,Predicted
0.7537688442211055,7.989949748743718,1.0,1,Predicted
0.879396984924623,8.592964824120603,1.0,0,Predicted
1.0050251256281406,9.195979899497488,0.0,0,Predicted
1.1306532663316582,9.497487437185928,0.0,1,Predicted
1.2562814070351758,10.100502512562812,1.0,1,Predicted
1.3819095477386933,10.703517587939697,0.0,1,Predicted
1.507537688442211,11.00502512562814,1.0,0,Predicted
1.6331658291457285,11.608040201005025,0.0,0,Predicted
1.758793969849246,12.21105527638191,1.0,0,Predicted
1.8844221105527637,12.51256281407035,1.0,1,Predicted
2.0100502512562812,13.115577889447234,0.0,1,Predicted
2.135678391959799,13.718592964824118,0.0,1,Predicted
2.2613065326633164,14.020100502512562,1.0,0,Predicted
2.386934673366834,14.623115577889447,1.0,0,Predicted
2.5125628140703515,15.226130653266331,0.0,0,Predicted
2.638190954773869,15.527638190954772,0.0,1,Predicted
2.7638190954773867,16.130653266331656,1.0,1,Predicted
2.8894472361809043,16.73366834170854,0.0,1,Predicted
3.015075376884422,17.035175879396984,1.0,1,Predicted
3.1407035175879394,17.63819095477387,0.0,0,Predicted
3.266331658291457,18.241206030150753,1.0,1,Predicted
3.3919597989949746,18.542713567839193,1.0,1,Predicted
3.517587939698492,19.145728643216078,0.0,1,Predicted
3.6432160804020097,19.748743718592962,0.0,1,Predicted
3.7688442211055273,20.050251256281406,1.0,0,Predicted
3.894472361809045,20.65326633165829,0.0,1,Predicted
4.0201005025125625,21.256281407035175,0.0,0,Predicted
4.14572864321608,21.557788944723615,0.0,1,Predicted
4.271356783919598,22.1608040201005,1.0,1,Predicted
4.396984924623116,22.763819095477384,0.0,1,Predicted
4.522613065326633,23.065326633165828,0.0,1,Predicted
4.64824120603015,23.668341708542712,0.0,0,Predicted
4.773869346733668,24.271356783919597,0.0,1,Predicted
4.899497487437186,24.572864321608037,1.0,1,Predicted
5.025125628140703,25.17587939698492,0.0,1,Predicted
5.15075376884422,25.778894472361806,1.0,1,Predicted
5.276381909547738,26.08040201005025,1.0,0,Predicted
5.402010050251256,26.683417085427134,0.0,1,Predicted
5.527638190954773,27.28643216080402,0.0,0,Predicted
5.6532663316582905,27.58793969849246,1.0,1,Predicted
5.7788944723618085,28.190954773869343,1.0,1,Predicted
5.9045226130653266,1.9597989949748742,1.0,1,Predicted
5.9045226130653266,2.8643216080402008,1.0,0,Predicted
5.9045226130653266,28.793969849246228,0.0,1,Predicted
6.030150753768844,1.9597989949748742,1.0,1,Predicted
6.030150753768844,3.165829145728643,1.0,0,Predicted
6.030150753768844,29.09547738693467,0.0,1,Predicted
6.155778894472361,1.9597989949748742,0.0,1,Predicted
6.155778894472361,3.165829145728643,0.0,0,Predicted
6.155778894472361,29.698492462311556,1.0,0,Predicted
6.281407035175879,1.658291457286432,1.0,1,Predicted
6.281407035175879,3.467336683417085,1.0,0,Predicted
6.281407035175879,30.30150753768844,0.0,1,Predicted
6.407035175879397,1.658291457286432,1.0,1,Predicted
6.407035175879397,3.467336683417085,0.0,0,Predicted
6.407035175879397,30.60301507537688,1.0,1,Predicted
6.532663316582914,1.658291457286432,1.0,1,Predicted
6.532663316582914,3.7688442211055273,1.0,0,Predicted
6.532663316582914,31.206030150753765,0.0,1,Predicted
6.658291457286431,1.658291457286432,0.0,1,Predicted
