Ubar,Mubar,Iters_gpu
9.5,43.0,20000
9.600000000000001,-1.0,20000
9.600000000000001,43.400000000000006,20000
9.700000000000001,-1.0,20000
9.700000000000001,43.800000000000004,20000
9.8,-1.0,20000
9.8,44.2,20000
9.9,-1.0,20000
9.9,14.3,20000
9.9,14.400000000000002,20000
9.9,44.6,20000
10.0,-1.0,20000
10.0,7.700000000000001,20000
10.0,14.0,20000
10.0,15.0,20000
10.0,45.0,20000
10.100000000000001,-1.0,20000
10.100000000000001,45.400000000000006,20000
10.200000000000001,-1.0,20000
10.200000000000001,45.800000000000004,20000
10.3,-1.0,20000
10.3,46.2,20000
10.4,-1.0,20000
10.4,46.6,20000
10.5,-1.0,20000
10.5,14.0,20000
10.5,16.5,20000
10.5,47.0,20000
10.600000000000001,-1.0,20000
10.600000000000001,47.400000000000006,20000
10.700000000000001,-1.0,20000
10.700000000000001,47.800000000000004,20000
10.8,-1.0,20000
10.8,48.2,20000
10.9,-1.0,20000
10.9,48.6,20000
11.0,-1.0,20000
11.0,49.0,20000
11.100000000000001,-1.0,20000
11.100000000000001,49.400000000000006,20000
11.200000000000001,-1.0,20000
11.200000000000001,14.400000000000002,20000
11.200000000000001,18.200000000000003,20000
11.200000000000001,49.800000000000004,20000
11.3,-1.0,20000
11.3,50.2,20000
11.4,-1.0,20000
11.4,50.6,20000
11.5,-1.0,20000
11.5,51.0,20000
11.600000000000001,-1.0,20000
11.600000000000001,51.400000000000006,20000
11.700000000000001,-1.0,20000
11.700000000000001,51.800000000000004,20000
11.8,-1.0,20000
11.8,52.2,20000
11.9,-1.0,20000
11.9,52.6,20000
12.0,-1.0,20000
12.0,15.0,20000
12.0,20.0,20000
12.0,53.0,20000
12.100000000000001,-1.0,20000
12.100000000000001,53.400000000000006,20000
12.200000000000001,-1.0,20000
12.200000000000001,53.800000000000004,20000
12.3,-1.0,20000
12.3,54.2,20000
12.4,-1.0,20000
12.4,54.6,20000
12.5,-1.0,20000
12.5,55.0,20000
12.600000000000001,-1.0,20000
12.600000000000001,55.400000000000006,20000
12.700000000000001,-1.0,20000
12.700000000000001,55.800000000000004,20000
12.8,-1.0,20000
12.8,56.2,20000
12.9,-1.0,20000
12.9,56.6,20000
13.0,-1.0,20000
13.0,57.0,20000
13.100000000000001,-1.0,20000
13.100000000000001,57.400000000000006,20000
13.200000000000001,-1.0,20000
13.200000000000001,1.2000000000000002,20000
13.200000000000001,11.0,20000
13.200000000000001,57.800000000000004,20000
13.3,-1.0,20000
13.3,16.1,20000
13.3,22.8,20000
13.3,58.2,20000
13.4,-1.0,20000
13.4,58.6,20000
13.5,-1.0,20000
13.5,59.0,20000
13.600000000000001,-1.0,20000
13.600000000000001,59.400000000000006,20000
13.700000000000001,-1.0,20000
13.700000000000001,59.8,20000
13.8,-1.0,20000
13.9,-1.0,20000
14.0,-1.0,20000
14.0,34.0,20000
14.0,35.0,20000
14.100000000000001,-1.0,20000
14.200000000000001,-1.0,20000
14.3,-1.0,20000
14.3,24.900000000000002,20000
14.3,34.1,20000
14.3,36.400000000000006,20000
14.4,-1.0,20000
14.4,34.2,20000
14.4,36.800000000000004,20000
14.5,-1.0,20000
14.600000000000001,-1.0,20000
14.700000000000001,-1.0,20000
