Ubar,Mubar,code1_Density,code1_Phi2,code1_Energy,code2_Density,code2_Phi2,code2_Energy,diff_Density,diff_Phi2,diff_Energy
5.83,-0.66,0.2155,0.1883,-0.0373686223,0.215542,0.188311,-0.037369,-4.200000000001425e-05,-1.1000000000011001e-05,3.7769999999826e-07
5.83,-0.65,0.2215,0.1927,-0.0395538207,0.221492,0.192689,-0.039554,8.000000000008e-06,1.1000000000011001e-05,1.7929999999999335e-07
5.83,-0.64,0.2274,0.197,-0.0417984079,0.22742,0.197003,-0.041798,-2.0000000000020002e-05,-3.0000000000030003e-06,-4.078999999990174e-07
5.83,-0.63,0.2333,0.2013,-0.0441021599,0.233325,0.201253,-0.044102,-2.4999999999997247e-05,4.700000000001925e-05,-1.5989999999771465e-07
5.83,-0.62,0.2392,0.2054,-0.0464648523,0.239208,0.205442,-0.046465,-8.000000000008e-06,-4.200000000001425e-05,1.4770000000136063e-07
5.83,-0.61,0.2451,0.2096,-0.0488862608,0.245069,0.209567,-0.048886,3.100000000000325e-05,3.300000000000525e-05,-2.607999999987287e-07
5.83,-0.6,0.2509,0.2136,-0.0513661608,0.250906,0.21363,-0.051366,-6.0000000000060005e-06,-2.999999999997449e-05,-1.6079999999585315e-07
5.83,-0.59,0.2567,0.2176,-0.0539043278,0.256722,0.217631,-0.053904,-2.2000000000022002e-05,-3.100000000000325e-05,-3.2779999999815734e-07
5.83,-0.58,0.2625,0.2216,-0.056500537,0.262515,0.22157,-0.056501,-1.4999999999987246e-05,3.0000000000002247e-05,4.6299999999915853e-07
5.83,-0.57,0.2683,0.2254,-0.0591545634,0.268285,0.225447,-0.059155,1.4999999999987246e-05,-4.700000000001925e-05,4.366000000005643e-07
5.83,-0.56,0.274,0.2293,-0.061866182,0.274034,0.229264,-0.061866,-3.399999999997849e-05,3.600000000000825e-05,-1.8200000000134775e-07
5.83,-0.55,0.2798,0.233,-0.0646351677,0.279759,0.233019,-0.064635,4.100000000001325e-05,-1.8999999999991246e-05,-1.676999999977724e-07
5.83,-0.54,0.2855,0.2367,-0.0674612952,0.285462,0.236713,-0.067461,3.799999999998249e-05,-1.3000000000013001e-05,-2.95200000000051e-07
5.83,-0.53,0.2911,0.2403,-0.0703443391,0.291142,0.240347,-0.070344,-4.199999999998649e-05,-4.699999999999149e-05,-3.3909999999637286e-07
5.83,-0.52,0.2968,0.2439,-0.0732840737,0.2968,0.24392,-0.073284,0.0,-1.9999999999992246e-05,-7.369999999173871e-08
5.83,-0.51,0.3024,0.2474,-0.0762802735,0.302435,0.247433,-0.07628,-3.500000000000725e-05,-3.299999999997749e-05,-2.7349999999481955e-07
5.83,-0.5,0.308,0.2509,-0.0793327126,0.308048,0.250887,-0.079333,-4.799999999999249e-05,1.2999999999985246e-05,2.874000000069321e-07
5.83,-0.49,0.3136,0.2543,-0.082441165,0.313638,0.254281,-0.082441,-3.799999999998249e-05,1.9000000000046757e-05,-1.64999999996418e-07
5.83,-0.48,0.3192,0.2576,-0.0856054048,0.319206,0.257615,-0.085605,-6.0000000000060005e-06,-1.4999999999987246e-05,-4.048000000062002e-07
5.83,-0.47,0.3248,0.2609,-0.0888252057,0.32475,0.260891,-0.088825,4.999999999999449e-05,9.000000000036756e-06,-2.0570000000552646e-07
