g,Ubar,mu_lo_fit,mu_hi_fit
1,0.0,6.996755701175592,-8.062279996132819
1,0.07537688442211055,6.887938013952715,-7.876529901853861
1,0.1507537688442211,6.780522923681968,-7.692205895953363
1,0.22613065326633164,6.6745012785046915,-7.509298658309646
1,0.3015075376884422,6.569863926562222,-7.327798868800981
1,0.37688442211055273,6.466601715995909,-7.147697207305684
1,0.4522613065326633,6.364705494947083,-6.9689843537020355
1,0.5276381909547738,6.264166111557089,-6.791650987868339
1,0.6030150753768844,6.164974413967266,-6.615687789682888
1,0.6783919597989949,6.067121250318955,-6.44108543902396
1,0.7537688442211055,5.970597468753496,-6.267834615769882
1,0.829145728643216,5.875393917412235,-6.095925999798917
1,0.9045226130653266,5.781501444436505,-5.925350270989372
1,0.9798994974874371,5.6889108979676495,-5.756098109219538
1,1.0552763819095476,5.597613126147009,-5.588160194367721
1,1.1306532663316582,5.507598977115921,-5.42152720631221
1,1.2060301507537687,5.418859299015732,-5.256189824931287
1,1.2814070351758793,5.331384939987776,-5.092138730103261
1,1.3567839195979898,5.245166748173398,-4.929364601706421
1,1.4321608040201004,5.160195571713939,-4.767858119619064
1,1.507537688442211,5.076462258750737,-4.607609963719476
1,1.5829145728643215,4.993957657425129,-4.448610813885958
1,1.658291457286432,4.912672615878462,-4.290851349996813
1,1.7336683417085426,4.832597982252073,-4.1343222519303175
1,1.809045226130653,4.753724604687305,-3.9790141995647796
1,1.8844221105527637,4.676043331325495,-3.824917872778488
1,1.9597989949748742,4.599545010307984,-3.6720239514497415
1,2.0351758793969847,4.524220489776115,-3.5203231154568293
1,2.1105527638190953,4.450060617871228,-3.3698060446780476
1,2.185929648241206,4.37705624273466,-3.2204634189916943
1,2.2613065326633164,4.305198212507758,-3.0722859182760542
1,2.336683417085427,4.2344773753318545,-2.9252642224094325
1,2.4120603015075375,4.1648845793482945,-2.7793890112701174
1,2.487437185929648,4.096410672698419,-2.634650964736406
1,2.5628140703517586,4.029046503523565,-2.491040762686593
1,2.638190954773869,3.962782919965078,-2.3485490849989716
1,2.7135678391959797,3.8976107701642944,-2.207166611551838
1,2.78894472361809,3.833520902262556,-2.066884022223484
1,2.8643216080402008,3.770504164401203,-1.9276919968922046
1,2.9396984924623113,3.708551404721576,-1.7895812154362964
1,3.015075376884422,3.6476534713650155,-1.6525423577340512
1,3.0904522613065324,3.5878012124728618,-1.5165661036637612
1,3.165829145728643,3.5289854761864543,-1.381643133103731
1,3.2412060301507535,3.4711971106471364,-1.247764125932246
1,3.316582914572864,3.414426963996246,-1.1149197620276006
1,3.3919597989949746,3.3586658843751236,-0.9831007212680927
1,3.467336683417085,3.3039047199251104,-0.8522976835320171
1,3.5427135678391957,3.2501343187875484,-0.7225013286976639
1,3.618090452261306,3.1973455291037753,-0.5937023366433344
1,3.6934673366834168,3.1455291990151326,-0.4658913872473155
1,3.7688442211055273,3.0946761766629596,-0.33905916038790657
1,3.844221105527638,3.0447773101886013,-0.2131963359433976
1,3.9195979899497484,2.9958234477333936,-0.08829359379209073
1,3.994974874371859,2.947805437438677,0.0356583861877271
1,4.0703517587939695,2.900714127445795,0.15866892411775846
1,4.14572864321608,2.854540365896084,0.2807473401197083
1,4.221105527638191,2.8092750009308873,0.40190295431528344
1,4.296482412060302,2.764908880691545,0.5221450868261903
1,4.371859296482412,2.7214328533193974,0.6414830577741302
1,4.447236180904522,2.678837766955785,0.7599261872808127
1,4.522613065326633,2.6371144697420488,0.8774837954679449
1,4.597989949748744,2.5962538098195274,0.9941652024572283
1,4.673366834170854,2.5562466353295625,1.1099797283703687
1,4.748743718592964,2.517083794413495,1.2249366933290737
1,4.824120603015075,2.4787561352126644,1.3390454174550477
1,4.899497487437186,2.44125450586841,1.452315220869996
1,4.974874371859296,2.4045697545220754,1.564755423695626
1,5.050251256281406,2.3686927293149997,1.6763753460536406
