Ubar,Mu_true,Mu_pred,Abs_Diff
0.0,2.0000000000000004,5.15,3.15
0.1,2.2,5.550000000000001,3.3500000000000005
0.2,2.4000000000000004,5.95,3.55
0.4,2.8000000000000007,6.75,3.9499999999999993
0.5,3.0000000000000004,7.15,4.15
0.6000000000000001,3.2,7.550000000000001,4.3500000000000005
0.7000000000000001,3.4000000000000004,7.95,4.55
0.8,3.6,8.25,4.65
0.9,3.800000000000001,8.65,4.85
1.0,4.0,9.05,5.050000000000001
1.1,4.199999999999999,9.45,5.25
1.2000000000000002,4.4,9.850000000000001,5.450000000000001
1.3,4.6,10.25,5.65
1.5,5.0,11.05,6.050000000000001
1.6,5.200000000000001,11.45,6.249999999999998
1.7000000000000002,5.4,11.850000000000001,6.450000000000001
1.8,5.6,12.25,6.65
2.0,6.0,13.150000000000002,7.150000000000002
2.1,6.200000000000001,13.55,7.35
2.2,6.4,13.95,7.549999999999999
2.3000000000000003,6.600000000000001,14.350000000000001,7.75
2.4000000000000004,6.800000000000001,14.75,7.949999999999999
2.5,7.0,15.150000000000002,8.150000000000002
2.6,7.200000000000001,15.55,8.35
2.7,7.4,15.95,8.549999999999999
2.8000000000000003,7.6,16.35,8.750000000000002
2.9000000000000004,7.800000000000001,16.75,8.95
3.0,8.0,17.15,9.149999999999999
3.1,8.200000000000001,17.55,9.35
3.2,8.4,17.950000000000003,9.550000000000002
3.3000000000000003,8.6,18.35,9.750000000000002
3.4000000000000004,8.8,18.75,9.95
3.5,9.0,19.150000000000002,10.150000000000002
3.6,9.2,19.55,10.350000000000001
3.7,9.4,19.950000000000003,10.550000000000002
4.0,10.0,21.150000000000002,11.150000000000002
4.1000000000000005,10.2,21.55,11.350000000000001
4.2,10.4,21.950000000000003,11.550000000000002
4.3,10.6,22.35,11.750000000000002
4.4,10.8,22.75,11.95
4.5,11.0,23.150000000000002,12.150000000000002
4.6000000000000005,11.2,23.55,12.350000000000001
4.7,11.4,23.950000000000003,12.550000000000002
4.800000000000001,11.6,24.35,12.750000000000002
4.9,11.8,24.75,12.95
