tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
1.0,20.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
1.0,20.0,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
1.0,20.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
1.0,20.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
1.0,20.0,-4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,3659
1.0,20.0,-3.8,0.0385,0.0385,0.0385,0.0385,0.0375,0.0375,0.0375,0.0375,-0.015484,48
1.0,20.0,-3.6,0.0756,0.0756,0.0756,0.0756,0.0719,0.0719,0.0719,0.0719,-0.061224,25
1.0,20.0,-3.4,0.1115,0.1115,0.1115,0.1115,0.1034,0.1034,0.1034,0.1034,-0.136183,17
1.0,20.0,-3.2,0.1462,0.1462,0.1462,0.1462,0.1323,0.1323,0.1323,0.1323,-0.239379,15
1.0,20.0,-3.0,0.1798,0.1798,0.1798,0.1798,0.1587,0.1587,0.1587,0.1587,-0.369881,14
1.0,20.0,-2.8,0.2123,0.2123,0.2123,0.2123,0.183,0.183,0.183,0.183,-0.526814,12
1.0,20.0,-2.6,0.2439,0.2439,0.2439,0.2439,0.2052,0.2052,0.2052,0.2052,-0.709354,11
1.0,20.0,-2.4,0.2744,0.2744,0.2744,0.2744,0.2255,0.2255,0.2255,0.2255,-0.916729,10
1.0,20.0,-2.2,0.3041,0.3041,0.3041,0.3041,0.2441,0.2441,0.2441,0.2441,-1.148209,10
1.0,20.0,-2.0,0.333,0.333,0.333,0.333,0.261,0.261,0.261,0.261,-1.403105,9
1.0,20.0,-1.8,0.361,0.361,0.361,0.361,0.2765,0.2765,0.2765,0.2765,-1.680766,9
1.0,20.0,-1.6,0.3883,0.3883,0.3883,0.3883,0.2905,0.2905,0.2905,0.2905,-1.980571,8
1.0,20.0,-1.4,0.4149,0.4149,0.4149,0.4149,0.3031,0.3031,0.3031,0.3031,-2.301929,8
