tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,25.0,5.6,0.9908,0.9908,0.9908,0.9908,0.0287,0.0287,0.0287,0.0287,-23.054414,105
1.0,25.0,5.8,0.9979,0.9979,0.9979,0.9979,0.0068,0.0068,0.0068,0.0068,-23.849945,355
1.0,25.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-24.649691,387
1.0,25.0,6.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-25.449691,191
1.0,25.0,6.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-26.249691,134
1.0,25.0,6.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-27.049691,106
1.0,25.0,6.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-27.849691,89
1.0,25.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-28.649691,78
1.0,25.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-29.449691,70
1.0,25.0,7.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-30.249691,64
1.0,25.0,7.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-31.049691,60
1.0,25.0,7.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-31.849691,57
1.0,25.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-32.649691,54
1.0,25.0,8.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-33.449691,52
1.0,25.0,8.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-34.249691,50
1.0,25.0,8.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-35.049691,48
1.0,25.0,8.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-35.849691,47
1.0,25.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-36.649691,46
1.0,25.0,9.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-37.449691,45
1.0,25.0,9.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-38.249691,45
1.0,25.0,9.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-39.049691,44
1.0,25.0,9.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-39.849691,44
1.0,25.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-40.649691,44
1.0,25.0,10.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-41.449691,44
1.0,25.0,10.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-42.249691,44
1.0,25.0,10.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-43.049691,44
1.0,25.0,10.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-43.849691,44
1.0,25.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-44.649691,45
1.0,25.0,11.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-45.449691,45
1.0,25.0,11.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-46.249691,46
1.0,25.0,11.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-47.049691,47
1.0,25.0,11.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-47.849691,48
1.0,25.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-48.649691,50
1.0,25.0,12.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-49.449691,51
1.0,25.0,12.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-50.249691,53
1.0,25.0,12.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-51.049691,56
1.0,25.0,12.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-51.849691,59
1.0,25.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-52.649691,62
1.0,25.0,13.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-53.449691,66
1.0,25.0,13.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-54.249691,72
1.0,25.0,13.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-55.049691,78
1.0,25.0,13.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-55.849691,87
1.0,25.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-56.649691,99
1.0,25.0,14.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-57.449691,116
1.0,25.0,14.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-58.249691,144
1.0,25.0,14.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-59.049691,194
1.0,25.0,14.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-59.849691,319
1.0,25.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-60.649691,1427
1.0,25.0,15.2,1.0053,1.0053,1.0053,1.0053,0.0222,0.0222,0.0222,0.0222,-61.451421,199
1.0,25.0,15.4,1.0121,1.0121,1.0121,1.0121,0.0489,0.0489,0.0489,0.0489,-62.258324,97
1.0,25.0,15.6,1.0194,1.0194,1.0194,1.0194,0.0757,0.0757,0.0757,0.0757,-63.070864,60
1.0,25.0,15.8,1.0271,1.0271,1.0271,1.0271,0.1025,0.1025,0.1025,0.1025,-63.889421,45
1.0,25.0,16.0,1.0353,1.0353,1.0353,1.0353,0.1292,0.1292,0.1292,0.1292,-64.714355,42
1.0,25.0,16.2,1.0439,1.0439,1.0439,1.0439,0.1557,0.1557,0.1557,0.1557,-65.54601,37
1.0,25.0,16.4,1.0529,1.0529,1.0529,1.0529,0.1819,0.1819,0.1819,0.1819,-66.384709,33
1.0,25.0,16.6,1.0623,1.0623,1.0623,1.0623,0.2079,0.2079,0.2079,0.2079,-67.23076,30
1.0,25.0,16.8,1.072,1.072,1.072,1.072,0.2336,0.2336,0.2336,0.2336,-68.08445,27
1.0,25.0,17.0,1.082,1.082,1.082,1.082,0.2589,0.2589,0.2589,0.2589,-68.946048,25
1.0,25.0,17.2,1.0924,1.0924,1.0924,1.0924,0.2838,0.2838,0.2838,0.2838,-69.815808,23
1.0,25.0,17.4,1.103,1.103,1.103,1.103,0.3082,0.3082,0.3082,0.3082,-70.693964,21
1.0,25.0,17.6,1.1139,1.1139,1.1139,1.1139,0.3322,0.3322,0.3322,0.3322,-71.580734,20
1.0,25.0,17.8,1.1251,1.1251,1.1251,1.1251,0.3557,0.3557,0.3557,0.3557,-72.476318,18
1.0,25.0,18.0,1.1364,1.1364,1.1364,1.1364,0.3787,0.3787,0.3787,0.3787,-73.380904,17
1.0,25.0,18.2,1.148,1.148,1.148,1.148,0.4012,0.4012,0.4012,0.4012,-74.29466,16
1.0,25.0,18.4,1.1597,1.1597,1.1597,1.1597,0.4231,0.4231,0.4231,0.4231,-75.217742,15
1.0,25.0,18.6,1.1717,1.1717,1.1717,1.1717,0.4445,0.4445,0.4445,0.4445,-76.150293,15
1.0,25.0,18.8,1.1837,1.1837,1.1837,1.1837,0.4653,0.4653,0.4653,0.4653,-77.092441,14
1.0,25.0,19.0,1.1959,1.1959,1.1959,1.1959,0.4856,0.4856,0.4856,0.4856,-78.044301,13
1.0,25.0,19.2,1.2083,1.2083,1.2083,1.2083,0.5052,0.5052,0.5052,0.5052,-79.005977,13
1.0,25.0,19.4,1.2207,1.2207,1.2207,1.2207,0.5243,0.5243,0.5243,0.5243,-79.977561,12
1.0,25.0,19.6,1.2332,1.2332,1.2332,1.2332,0.5428,0.5428,0.5428,0.5428,-80.959135,12
1.0,25.0,19.8,1.2459,1.2459,1.2459,1.2459,0.5608,0.5608,0.5608,0.5608,-81.950769,11
1.0,25.0,20.0,1.2585,1.2585,1.2585,1.2585,0.5781,0.5781,0.5781,0.5781,-82.952526,11
1.0,25.0,20.2,1.2713,1.2713,1.2713,1.2713,0.5949,0.5949,0.5949,0.5949,-83.964456,11
1.0,25.0,20.4,1.2841,1.2841,1.2841,1.2841,0.6111,0.6111,0.6111,0.6111,-84.986603,10
1.0,25.0,20.6,1.2969,1.2969,1.2969,1.2969,0.6268,0.6268,0.6268,0.6268,-86.019003,10
1.0,25.0,20.8,1.3098,1.3098,1.3098,1.3098,0.6419,0.6419,0.6419,0.6419,-87.061682,10
1.0,25.0,21.0,1.3227,1.3227,1.3227,1.3227,0.6564,0.6564,0.6564,0.6564,-88.11466,10
1.0,25.0,21.2,1.3356,1.3356,1.3356,1.3356,0.6703,0.6703,0.6703,0.6703,-89.17795,9
1.0,25.0,21.4,1.3485,1.3485,1.3485,1.3485,0.6837,0.6837,0.6837,0.6837,-90.251557,9
1.0,25.0,21.6,1.3614,1.3614,1.3614,1.3614,0.6966,0.6966,0.6966,0.6966,-91.335481,9
1.0,25.0,21.8,1.3742,1.3742,1.3742,1.3742,0.7089,0.7089,0.7089,0.7089,-92.429716,9
1.0,25.0,22.0,1.3871,1.3871,1.3871,1.3871,0.7207,0.7207,0.7207,0.7207,-93.534249,9
1.0,25.0,22.2,1.3999,1.3999,1.3999,1.3999,0.7319,0.7319,0.7319,0.7319,-94.649062,9
1.0,25.0,22.4,1.4127,1.4127,1.4127,1.4127,0.7427,0.7427,0.7427,0.7427,-95.774132,9
1.0,25.0,22.6,1.4255,1.4255,1.4255,1.4255,0.7529,0.7529,0.7529,0.7529,-96.909432,8
1.0,25.0,22.8,1.4382,1.4382,1.4382,1.4382,0.7626,0.7626,0.7626,0.7626,-98.054928,8
1.0,25.0,23.0,1.4509,1.4509,1.4509,1.4509,0.7718,0.7718,0.7718,0.7718,-99.210584,8
1.0,25.0,23.2,1.4635,1.4635,1.4635,1.4635,0.7805,0.7805,0.7805,0.7805,-100.376357,8
1.0,25.0,23.4,1.4761,1.4761,1.4761,1.4761,0.7887,0.7887,0.7887,0.7887,-101.552202,8
1.0,25.0,23.6,1.4886,1.4886,1.4886,1.4886,0.7964,0.7964,0.7964,0.7964,-102.738069,8
